[2025-09-21 16:55:35.137] [INFO ] [T022] [FileSyncService] 释放FastCopy并发许可: C1718.MP4
[2025-09-21 16:55:35.138] [INFO ] [T022] [FileSyncService] 文件处理完成，清理锁: C1718.MP4
[2025-09-21 16:55:36.304] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1724.MP4
[2025-09-21 16:55:36.310] [INFO ] [T022] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:36.313] [INFO ] [T018] [FileSyncService] 检测到文件变化，等待写入完成: C1725.MP4
[2025-09-21 16:55:36.313] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1725.MP4
[2025-09-21 16:55:36.457] [INFO ] [T004] [FileSyncService] 文件写入已完成，准备同步: C1720.MP4
[2025-09-21 16:55:36.457] [INFO ] [T004] [FileSyncService] 获取FastCopy并发许可，开始复制: C1720.MP4
[2025-09-21 16:55:37.451] [INFO ] [T022] [FileSyncService] 释放FastCopy并发许可: C1719.MP4
[2025-09-21 16:55:37.451] [INFO ] [T004] [FileSyncService] 释放FastCopy并发许可: C1719.MP4
[2025-09-21 16:55:37.452] [INFO ] [T004] [FileSyncService] 文件处理完成，清理锁: C1719.MP4
[2025-09-21 16:55:37.762] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1725.MP4
[2025-09-21 16:55:37.768] [INFO ] [T006] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:37.771] [INFO ] [T022] [FileSyncService] 检测到文件变化，等待写入完成: C1726.MP4
[2025-09-21 16:55:37.771] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: C1726.MP4
[2025-09-21 16:55:38.109] [INFO ] [T022] [FileSyncService] 文件写入已完成，准备同步: C1721.MP4
[2025-09-21 16:55:38.109] [INFO ] [T004] [FileSyncService] 文件写入已完成，准备同步: C1721.MP4
[2025-09-21 16:55:38.110] [INFO ] [T022] [FileSyncService] 获取FastCopy并发许可，开始复制: C1721.MP4
[2025-09-21 16:55:38.110] [INFO ] [T004] [FileSyncService] 获取FastCopy并发许可，开始复制: C1721.MP4
[2025-09-21 16:55:39.372] [INFO ] [T017] [FileSyncService] 释放FastCopy并发许可: C1720.MP4
[2025-09-21 16:55:39.372] [INFO ] [T017] [FileSyncService] 文件处理完成，清理锁: C1720.MP4
[2025-09-21 16:55:39.510] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1726.MP4
[2025-09-21 16:55:39.518] [INFO ] [T019] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:39.521] [INFO ] [T004] [FileSyncService] 检测到文件变化，等待写入完成: C1727.MP4
[2025-09-21 16:55:39.521] [INFO ] [T017] [FileSyncService] 检测到文件变化，等待写入完成: C1727.MP4
[2025-09-21 16:55:39.695] [INFO ] [T017] [FileSyncService] 文件写入已完成，准备同步: C1724.MP4
